"beta","gamma2","sigma2","n_clusters","R_per_cluster","replication","estimated_beta","lower_confint","upper_confint","ratio"
1,1,1,15,12,1,1.03265779667347,-0.142310335683577,2.20762592903052,"2:1"
1,1,1,15,12,2,0.321725375923623,-0.595112563374473,1.23856331522172,"2:1"
1,1,1,15,12,3,0.915104948894829,-0.270912043477785,2.10112194126744,"2:1"
1,1,1,15,12,4,1.12283876487327,0.334343690675898,1.91133383907065,"2:1"
1,1,1,15,12,5,0.862269232914798,-0.307682864943591,2.03222133077319,"2:1"
1,1,1,15,12,6,1.00598214831646,0.0720435594370722,1.93992073719585,"2:1"
1,1,1,15,12,7,1.7018455261577,0.244880990385595,3.1588100619298,"2:1"
1,1,1,15,12,8,2.45421711525682,1.47267043510355,3.43576379541008,"2:1"
1,1,1,15,12,9,1.14670848337254,-0.0791410389170319,2.37255800566211,"2:1"
1,1,1,15,12,10,1.54800636580375,0.489534313420025,2.60647841818747,"2:1"
1,1,1,15,12,11,1.15351842758295,0.00552301469758509,2.30151384046831,"2:1"
1,1,1,15,12,12,1.95191352043847,0.71410736745272,3.18971967342422,"2:1"
1,1,1,15,12,13,0.326468983649769,-0.757065378227057,1.41000334552659,"2:1"
1,1,1,15,12,14,1.42192157558244,0.558617895816531,2.28522525534835,"2:1"
1,1,1,15,12,15,1.07510738686382,-0.308666600122719,2.45888137385036,"2:1"
1,1,1,15,12,16,1.11399731696243,-0.0875723474523693,2.31556698137722,"2:1"
1,1,1,15,12,17,1.23587609890895,0.120195699172377,2.35155649864552,"2:1"
1,1,1,15,12,18,0.939966885741922,-0.250017777847099,2.12995154933094,"2:1"
1,1,1,15,12,19,1.88635718807217,0.782353369802627,2.99036100634171,"2:1"
1,1,1,15,12,20,1.09976768337377,0.134530369534085,2.06500499721345,"2:1"
1,1,1,15,12,21,-0.154744315412575,-1.29356452583501,0.984075895009858,"2:1"
1,1,1,15,12,22,-0.0170218216816286,-0.849854885689301,0.815811242326043,"2:1"
1,1,1,15,12,23,0.35806616202462,-0.971003967380809,1.68713629143005,"2:1"
1,1,1,15,12,24,0.78324727471502,-0.0819387207381126,1.64843327016815,"2:1"
1,1,1,15,12,25,0.72457145403609,-0.0720355418413569,1.52117844991354,"2:1"
1,1,1,15,12,26,1.73937564207726,0.656668990093374,2.82208229406115,"2:1"
1,1,1,15,12,27,0.902695069557559,-0.225386545483264,2.03077668459838,"2:1"
1,1,1,15,12,28,2.24356560822326,1.05333102204977,3.43380019439675,"2:1"
1,1,1,15,12,29,1.09220220468544,0.547592519651639,1.63681188971924,"2:1"
1,1,1,15,12,30,0.0496476050662184,-1.15745110950123,1.25674631963367,"2:1"
1,1,1,15,12,31,1.41214357228618,0.391648322704025,2.43263882186833,"2:1"
1,1,1,15,12,32,0.306647575832269,-0.669851520034281,1.28314667169882,"2:1"
1,1,1,15,12,33,0.846331116897081,0.00342595256590583,1.68923628122826,"2:1"
1,1,1,15,12,34,0.373011386097378,-1.16124606041811,1.90726883261286,"2:1"
1,1,1,15,12,35,0.581707127429537,-0.522348195240197,1.68576245009927,"2:1"
1,1,1,15,12,36,0.925968951490864,-0.187954253079874,2.0398921560616,"2:1"
1,1,1,15,12,37,0.959074935060098,-0.0988677801197787,2.01701765023997,"2:1"
1,1,1,15,12,38,0.671593013544891,-0.256087274007289,1.59927330109707,"2:1"
1,1,1,15,12,39,0.114856718162037,-1.1663526845533,1.39606612087737,"2:1"
1,1,1,15,12,40,0.427922758580953,-0.631331398948942,1.48717691611085,"2:1"
1,1,1,15,12,41,1.04329087690237,-0.0795073361763379,2.16608908998108,"2:1"
1,1,1,15,12,42,0.801670492962785,-0.0791855354108141,1.68252652133638,"2:1"
1,1,1,15,12,43,1.6800185179936,0.513340207785206,2.84669682820199,"2:1"
1,1,1,15,12,44,1.40317430393982,0.271841072623898,2.53450753525574,"2:1"
1,1,1,15,12,45,2.38201063623728,0.932687990764833,3.83133328170974,"2:1"
1,1,1,15,12,46,1.54179344981481,0.356959868024142,2.72662703160547,"2:1"
1,1,1,15,12,47,-0.220669213177803,-1.08521717462156,0.643878748265959,"2:1"
1,1,1,15,12,48,1.07424637369107,0.0942578112343604,2.05423493614778,"2:1"
1,1,1,15,12,49,0.359587125240135,-0.494050641385232,1.2132248918655,"2:1"
1,1,1,15,12,50,0.497335235905646,-0.366858701207875,1.36152917301917,"2:1"
1,1,1,15,12,51,0.720830502025393,-0.229104762553805,1.67076576660459,"2:1"
1,1,1,15,12,52,1.34686046008926,0.387211280763829,2.30650963941469,"2:1"
1,1,1,15,12,53,0.242205966683524,-0.752064033079855,1.2364759664469,"2:1"
1,1,1,15,12,54,0.679103266210445,0.00161967716574773,1.35658685525514,"2:1"
1,1,1,15,12,55,0.795848440871407,-0.414883459368437,2.00658034111125,"2:1"
1,1,1,15,12,56,1.49617909037155,0.514444370951117,2.47791380979198,"2:1"
1,1,1,15,12,57,1.03657598114386,0.0802615987302004,1.99289036355752,"2:1"
1,1,1,15,12,58,1.20377538128615,0.0437082967961375,2.36384246577617,"2:1"
1,1,1,15,12,59,0.606726911329395,-0.533606097427939,1.74705992008673,"2:1"
1,1,1,15,12,60,0.843007958300001,-0.2244815270811,1.9104974436811,"2:1"
1,1,1,15,12,61,0.650912016596946,-0.104741617196283,1.40656565039018,"2:1"
1,1,1,15,12,62,2.33559281445164,1.55212034974836,3.11906527915492,"2:1"
1,1,1,15,12,63,0.764914434919877,-0.178872630869625,1.70870150070938,"2:1"
1,1,1,15,12,64,1.00143979729606,-0.067499228168975,2.07037882276109,"2:1"
1,1,1,15,12,65,1.22200641807674,0.19618224419816,2.24783059195532,"2:1"
1,1,1,15,12,66,0.97044400681079,0.0139331131703684,1.92695490045121,"2:1"
1,1,1,15,12,67,0.779670043555265,-0.0246989500488892,1.58403903715942,"2:1"
1,1,1,15,12,68,1.7904132985897,1.07903928031765,2.50178731686175,"2:1"
1,1,1,15,12,69,1.08430913822442,-0.108126454084644,2.27674473053348,"2:1"
1,1,1,15,12,70,0.876410376215685,-0.0438488623120064,1.79666961474338,"2:1"
1,1,1,15,12,71,1.84834892284563,0.838094914271335,2.85860293141992,"2:1"
1,1,1,15,12,72,0.531740273938561,-0.771975506382386,1.83545605425951,"2:1"
1,1,1,15,12,73,0.528239517231557,-0.639400426431934,1.69587946089505,"2:1"
1,1,1,15,12,74,0.889409045137602,0.111894537863336,1.66692355241187,"2:1"
1,1,1,15,12,75,0.8715867286338,-0.127077352984608,1.87025081025221,"2:1"
1,1,1,15,12,76,0.735190179885096,-0.205425529403575,1.67580588917377,"2:1"
1,1,1,15,12,77,-0.538340080485301,-1.55880901491645,0.482128853945844,"2:1"
1,1,1,15,12,78,0.829900004132922,0.154215697047432,1.50558431121841,"2:1"
1,1,1,15,12,79,-0.255499625600571,-1.51555162541469,1.00455237421355,"2:1"
1,1,1,15,12,80,0.902324290094105,-0.58334930810231,2.38799788829052,"2:1"
1,1,1,15,12,81,0.472405888038193,-0.454918387063214,1.3997301631396,"2:1"
1,1,1,15,12,82,1.49362349729698,0.262850902608939,2.72439609198502,"2:1"
1,1,1,15,12,83,0.631950227553147,-0.840165030667532,2.10406548577383,"2:1"
1,1,1,15,12,84,0.0681218330358885,-1.30587682973806,1.44212049580984,"2:1"
1,1,1,15,12,85,1.45340856959273,0.267905435831159,2.63891170335431,"2:1"
1,1,1,15,12,86,1.64338011049221,0.517935508367808,2.7688247126166,"2:1"
1,1,1,15,12,87,1.06644431542565,0.281378306926003,1.8515103239253,"2:1"
1,1,1,15,12,88,-0.202516434916565,-1.08332221656067,0.678289346727537,"2:1"
1,1,1,15,12,89,0.700479687332769,-0.52960001068079,1.93055938534633,"2:1"
1,1,1,15,12,90,1.05164575722356,-0.0423157571669721,2.14560727161409,"2:1"
1,1,1,15,12,91,1.02222776604774,-0.373995210784797,2.41845074288027,"2:1"
1,1,1,15,12,92,1.04261465356869,-0.143242816299712,2.22847212343709,"2:1"
1,1,1,15,12,93,0.516413093336209,-0.430069667333313,1.46289585400573,"2:1"
1,1,1,15,12,94,1.20688377439569,-0.341419695201513,2.75518724399289,"2:1"
1,1,1,15,12,95,0.298528111996606,-1.22015582927669,1.8172120532699,"2:1"
1,1,1,15,12,96,0.911004358211305,-0.414810993920859,2.23681971034347,"2:1"
1,1,1,15,12,97,0.768002562897641,-0.945919881145426,2.48192500694071,"2:1"
1,1,1,15,12,98,0.633349236840327,-0.172553461956129,1.43925193563678,"2:1"
1,1,1,15,12,99,0.816819205794413,-0.073533349575114,1.70717176116394,"2:1"
1,1,1,15,12,100,1.27648340432747,0.413384746070867,2.13958206258407,"2:1"
1,1,1,10,18,1,1.48997282839962,-0.0367228526467891,3.01666850944604,"2:1"
1,1,1,10,18,2,1.55903286350027,-0.614845528606838,3.73291125560739,"2:1"
1,1,1,10,18,3,1.27068708412394,-0.364891899266188,2.90626606751407,"2:1"
1,1,1,10,18,4,0.930424778952065,-0.0581248235718193,1.91897438147595,"2:1"
1,1,1,10,18,5,1.38549322370607,0.133387697245568,2.63759875016658,"2:1"
1,1,1,10,18,6,-0.0672788467213438,-1.52799611895626,1.39343842551358,"2:1"
1,1,1,10,18,7,1.44998250907297,0.540011243745664,2.35995377440027,"2:1"
1,1,1,10,18,8,0.991948568253433,-0.298610260832968,2.28250739733983,"2:1"
1,1,1,10,18,9,1.68895650998276,0.270965883269287,3.10694713669623,"2:1"
1,1,1,10,18,10,1.80932026376235,0.197807993313247,3.42083253421144,"2:1"
1,1,1,10,18,11,0.0307751590374519,-1.08537958193948,1.14692990001439,"2:1"
1,1,1,10,18,12,-0.208483874582323,-1.73490409947118,1.31793635030654,"2:1"
1,1,1,10,18,13,1.68848796365858,0.561163025444885,2.81581290187227,"2:1"
1,1,1,10,18,14,1.22336929569079,-0.504819664094564,2.95155825547615,"2:1"
1,1,1,10,18,15,2.07840362382946,0.983138419862021,3.1736688277969,"2:1"
1,1,1,10,18,16,0.898846959507708,-0.289541930337422,2.08723584935284,"2:1"
1,1,1,10,18,17,0.666053500510456,-0.799375952085601,2.13148295310651,"2:1"
1,1,1,10,18,18,-0.140320974910068,-1.13746034513452,0.856818395314381,"2:1"
1,1,1,10,18,19,1.17477045237942,-0.0997476963212764,2.44928860108012,"2:1"
1,1,1,10,18,20,1.49456812725066,0.292401476815373,2.69673477768594,"2:1"
1,1,1,10,18,21,0.833171421628205,-0.156696521632762,1.82303936488917,"2:1"
1,1,1,10,18,22,0.163738135284442,-1.31557910992576,1.64305538049464,"2:1"
1,1,1,10,18,23,-0.956769403043568,-1.90164894287933,-0.0118898632078033,"2:1"
1,1,1,10,18,24,1.04521187095733,-0.355767574898212,2.44619131681288,"2:1"
1,1,1,10,18,25,0.719224269437278,-0.452004680455666,1.89045321933022,"2:1"
1,1,1,10,18,26,2.38295350070252,1.00820980374354,3.75769719766151,"2:1"
1,1,1,10,18,27,-0.102883026745262,-1.26754067309382,1.06177461960329,"2:1"
1,1,1,10,18,28,0.261842504651895,-1.22216167105003,1.74584668035382,"2:1"
1,1,1,10,18,29,1.00134409750964,0.0806717733677526,1.92201642165153,"2:1"
1,1,1,10,18,30,1.22963581886611,0.101954076559136,2.35731756117309,"2:1"
1,1,1,10,18,31,1.02912123720132,-0.691619648956155,2.74986212335879,"2:1"
1,1,1,10,18,32,0.507912221027707,-0.286188314722401,1.30201275677782,"2:1"
1,1,1,10,18,33,1.75619748894176,0.113564843240982,3.39883013464254,"2:1"
1,1,1,10,18,34,0.9030693494603,-0.121340453659097,1.9274791525797,"2:1"
1,1,1,10,18,35,-0.121480640244176,-1.04550904386887,0.802547763380523,"2:1"
1,1,1,10,18,36,0.44393390347316,-0.464958668698394,1.35282647564471,"2:1"
1,1,1,10,18,37,0.109334406043062,-1.46304105000823,1.68170986209435,"2:1"
1,1,1,10,18,38,-0.343300912314968,-2.99051063271577,2.30390880808583,"2:1"
1,1,1,10,18,39,1.40098480555617,-0.112527884444662,2.91449749555701,"2:1"
1,1,1,10,18,40,1.8573851358291,0.458908691304983,3.25586158035322,"2:1"
1,1,1,10,18,41,1.75938864201041,0.0698045527275062,3.44897273129331,"2:1"
1,1,1,10,18,42,1.13721048561221,-0.580708775780403,2.85512974700482,"2:1"
1,1,1,10,18,43,1.42265818686299,-0.200918491015555,3.04623486474154,"2:1"
1,1,1,10,18,44,1.01171917302917,-0.642335942250292,2.66577428830863,"2:1"
1,1,1,10,18,45,0.713495280644393,-0.873782644660245,2.30077320594903,"2:1"
1,1,1,10,18,46,0.545609815777716,-0.88282581254496,1.97404544410039,"2:1"
1,1,1,10,18,47,2.0744247315947,0.562141141024765,3.58670832216464,"2:1"
1,1,1,10,18,48,1.54550270836553,0.394280602835162,2.69672481389589,"2:1"
1,1,1,10,18,49,0.15282727516837,-0.609019886889619,0.914674437226359,"2:1"
1,1,1,10,18,50,0.976875499871,0.282314590941633,1.67143640880037,"2:1"
1,1,1,10,18,51,2.1303459350521,1.19638143294588,3.06431043715833,"2:1"
1,1,1,10,18,52,0.622244213469347,-0.745573772919012,1.99006219985771,"2:1"
1,1,1,10,18,53,1.37673447632056,-0.491512873923609,3.24498182656473,"2:1"
1,1,1,10,18,54,-0.350730986613966,-1.86686863939804,1.16540666617011,"2:1"
1,1,1,10,18,55,2.1289080317052,1.0195866041021,3.2382294593083,"2:1"
1,1,1,10,18,56,0.73672533641866,-0.53695524802068,2.010405920858,"2:1"
1,1,1,10,18,57,0.470438298617104,-0.637984641747138,1.57886123898135,"2:1"
1,1,1,10,18,58,1.13705413676392,-0.175566631933801,2.44967490546164,"2:1"
1,1,1,10,18,59,1.33613721442875,0.598623623798721,2.07365080505878,"2:1"
1,1,1,10,18,60,1.6952907090401,0.116197591711807,3.2743838263684,"2:1"
1,1,1,10,18,61,1.18501552014244,-0.391501622233863,2.76153266251873,"2:1"
1,1,1,10,18,62,0.75639440948234,-0.264239826789111,1.77702864575379,"2:1"
1,1,1,10,18,63,2.3682361605029,0.862409809468143,3.87406251153766,"2:1"
1,1,1,10,18,64,0.740537476780066,-0.159394644259799,1.64046959781993,"2:1"
1,1,1,10,18,65,1.36402192734296,-0.286041757196205,3.01408561188211,"2:1"
1,1,1,10,18,66,1.87450957717036,0.654154599229652,3.09486455511107,"2:1"
1,1,1,10,18,67,1.08045524640488,-0.776966416769783,2.93787690957954,"2:1"
1,1,1,10,18,68,1.51736271720345,0.590631900294005,2.4440935341129,"2:1"
1,1,1,10,18,69,1.73634384675737,0.282878854220981,3.18980883929375,"2:1"
1,1,1,10,18,70,0.98868742336649,-0.369282307095141,2.34665715382812,"2:1"
1,1,1,10,18,71,2.11085205100752,0.911553619895034,3.31015048212,"2:1"
1,1,1,10,18,72,1.49898489158942,0.394307858214445,2.60366192496439,"2:1"
1,1,1,10,18,73,0.500159119476395,-0.327212349509277,1.32753058846207,"2:1"
1,1,1,10,18,74,0.747554750713021,-1.42832473275587,2.92343423418191,"2:1"
1,1,1,10,18,75,-0.00645857842438301,-1.19807015612534,1.18515299927658,"2:1"
1,1,1,10,18,76,0.186643800232085,-1.52930351366186,1.90259111412603,"2:1"
1,1,1,10,18,77,1.67244188363608,0.231122186383961,3.1137615808882,"2:1"
1,1,1,10,18,78,0.505596585559233,-0.438855322265197,1.45004849338366,"2:1"
1,1,1,10,18,79,1.0200429393249,0.0534676060700405,1.98661827257977,"2:1"
1,1,1,10,18,80,0.501460533247403,-0.92509907012046,1.92802013661526,"2:1"
1,1,1,10,18,81,1.55483731034781,0.24156679074279,2.86810782995283,"2:1"
1,1,1,10,18,82,0.4497279072475,-0.491188671308138,1.39064448580314,"2:1"
1,1,1,10,18,83,0.279451212708839,-1.32557628025549,1.88447870567317,"2:1"
1,1,1,10,18,84,1.92616790955359,0.862284591194503,2.99005122791268,"2:1"
1,1,1,10,18,85,1.51039596142588,0.415138455532225,2.60565346731954,"2:1"
1,1,1,10,18,86,1.26126907630863,-0.528899129196506,3.05143728181377,"2:1"
1,1,1,10,18,87,0.775138520534164,-0.582605027661026,2.13288206872935,"2:1"
1,1,1,10,18,88,1.24774721109711,0.173296417834371,2.32219800435986,"2:1"
1,1,1,10,18,89,0.4999663030079,-0.986095846771311,1.98602845278711,"2:1"
1,1,1,10,18,90,NA,NA,NA,"2:1"
1,1,1,10,18,91,1.21806006255597,0.214214442354371,2.22190568275756,"2:1"
1,1,1,10,18,92,0.413474865469403,-1.4474846548149,2.2744343857537,"2:1"
1,1,1,10,18,93,0.937424387726954,-0.402718189249257,2.27756696470316,"2:1"
1,1,1,10,18,94,1.95332193020483,0.938061305930481,2.96858255447918,"2:1"
1,1,1,10,18,95,0.631451927665767,-1.05475789305582,2.31766174838735,"2:1"
1,1,1,10,18,96,0.0617385347917548,-1.59539852930555,1.71887559888906,"2:1"
1,1,1,10,18,97,0.177944218568368,-1.48395384227614,1.83984227941288,"2:1"
1,1,1,10,18,98,0.0190924734074993,-1.55635232234842,1.59453726916342,"2:1"
1,1,1,10,18,99,0.406461753779783,-1.73930314094119,2.55222664850075,"2:1"
1,1,1,10,18,100,0.968995417425216,0.351472253288589,1.58651858156184,"2:1"
1,1,1,5,38,1,0.365554394192894,-1.93099055737097,2.66209934575676,"2:1"
1,1,1,5,38,2,0.446077373168735,-0.446699812695188,1.33885455903266,"2:1"
1,1,1,5,38,3,1.88983905611148,0.128024654135645,3.65165345808732,"2:1"
1,1,1,5,38,4,3.86995550456187,2.02626503333318,5.71364597579056,"2:1"
1,1,1,5,38,5,-0.198999516414952,-1.32787678672268,0.929877753892771,"2:1"
1,1,1,5,38,6,3.20779837242153,0.0499367471093715,6.36565999773369,"2:1"
1,1,1,5,38,7,-0.491736918837731,-1.48862087654045,0.505147038864987,"2:1"
1,1,1,5,38,8,1.08909202867219,0.192871828569039,1.98531222877534,"2:1"
1,1,1,5,38,9,1.40879036032808,0.452422621798588,2.36515809885757,"2:1"
1,1,1,5,38,10,-0.243660071707567,-2.67380224428326,2.18648210086812,"2:1"
1,1,1,5,38,11,1.22929682408758,0.0108940441121232,2.44769960406304,"2:1"
1,1,1,5,38,12,0.929589311009037,-1.75535715047391,3.61453577249198,"2:1"
1,1,1,5,38,13,-0.588569346200182,-2.78752722774401,1.61038853534365,"2:1"
1,1,1,5,38,14,1.87087132202193,0.936934071461589,2.80480857258227,"2:1"
1,1,1,5,38,15,2.17859390693752,0.573874509572274,3.78331330430277,"2:1"
1,1,1,5,38,16,-0.0249917486521396,-1.7997930377737,1.74980954046942,"2:1"
1,1,1,5,38,17,0.292718982718771,-2.28014331108854,2.86558127652608,"2:1"
1,1,1,5,38,18,2.69440749602799,-0.744492329776769,6.13330732183274,"2:1"
1,1,1,5,38,19,0.00159542418577681,-1.65542534430538,1.65861619267693,"2:1"
1,1,1,5,38,20,NA,NA,NA,"2:1"
1,1,1,5,38,21,-0.913943816278518,-1.78225737374531,-0.0456302588117294,"2:1"
1,1,1,5,38,22,0.41931038961138,-0.477115939116288,1.31573671833905,"2:1"
1,1,1,5,38,23,2.59916937497536,0.119558347523048,5.07878040242767,"2:1"
1,1,1,5,38,24,0.918777539908216,0.196090214381244,1.64146486543519,"2:1"
1,1,1,5,38,25,-0.385225380444563,-1.7507304569996,0.980279696110476,"2:1"
1,1,1,5,38,26,0.599403175663379,-1.52509044624133,2.72389679756809,"2:1"
1,1,1,5,38,27,NA,NA,NA,"2:1"
1,1,1,5,38,28,1.45801757711068,-1.3111334072907,4.22716856151206,"2:1"
1,1,1,5,38,29,-0.122501383898775,-1.11572276803675,0.870720000239203,"2:1"
